Asset,Component,Sub-Component,Sub-Sub-Component,Hazard,FragilityModel,scale,shape,median,dispersion,mid_point,slope
Hydroelectric Facility,Dam Structure,Impoundment structure,,,,,,,,,
Hydroelectric Facility,Dam Structure,Spillway,Spillway gates,,,,,,,,
Hydroelectric Facility,Dam Structure,Spillway,Spillway chute/canal,,,,,,,,
Hydroelectric Facility,Dam Structure,Intake structure,Trash racks,,,,,,,,
Hydroelectric Facility,Dam Structure,Intake structure,Intake gates,,,,,,,,
Hydroelectric Facility,Dam Structure,Intake structure,Gate hoist mechanism,,,,,,,,
Hydroelectric Facility,Penstock System,Main penstock,,,,,,,,,
Hydroelectric Facility,Penstock System,Branching elements (optional),,,,,,,,,
Hydroelectric Facility,Penstock System,Surge Tank,,,,,,,,,
Hydroelectric Facility,Penstock System,Support elements,,,,,,,,,
Hydroelectric Facility,Penstock System,Expansion joints,,,,,,,,,
Hydroelectric Facility,Powerhouse,Structural housing,,,,,,,,,
Hydroelectric Facility,Powerhouse,Crane system,Overhead bridge crane,,,,,,,,
Hydroelectric Facility,Powerhouse,Crane system,Gantry crane,,,,,,,,
Hydroelectric Facility,Generator System,Rotor,,,,,,,,,
Hydroelectric Facility,Generator System,Stator,,,,,,,,,
Hydroelectric Facility,Generator System,Shaft coupling,,,,,,,,,
Hydroelectric Facility,Generator System,Excitation system,Brushless exciter,,,,,,,,
Hydroelectric Facility,Generator System,Excitation system,Static exciter,,,,,,,,
Hydroelectric Facility,Generator System,Cooling system,Air cooling,Heat Stress,weibull,92.55,2.25,,,,
Hydroelectric Facility,Generator System,Cooling system,Hydrogen cooling,Heat Stress,lognormal,,,85,0.2,,
Hydroelectric Facility,Generator System,Cooling system,Water cooling,Heat Stress,logistic,,,,,95,0.1
Hydroelectric Facility,Generator System,Bearing system,Thrust bearing,,,,,,,,
Hydroelectric Facility,Generator System,Bearing system,Guide bearing,,,,,,,,
Hydroelectric Facility,Turbine System,Turbine (types),Francis turbine,,,,,,,,
Hydroelectric Facility,Turbine System,Turbine (types),Kaplan turbine,,,,,,,,
Hydroelectric Facility,Turbine System,Turbine (types),Pelton turbine,,,,,,,,
Hydroelectric Facility,Turbine System,Runner,,,,,,,,,
Hydroelectric Facility,Turbine System,Spiral casing,,,,,,,,,
Hydroelectric Facility,Turbine System,Guide Vanes,,,,,,,,,
Hydroelectric Facility,Turbine System,Guide mechanism,,,,,,,,,
Hydroelectric Facility,Turbine System,Draft tube,,,,,,,,,
Hydroelectric Facility,Turbine System,Shaft,,,,,,,,,
Hydroelectric Facility,Turbine System,Turbine bearings,,,,,,,,,
Hydroelectric Facility,Governor and Control System,Hydraulic governor,,,,,,,,,
Hydroelectric Facility,Governor and Control System,Electronic governor,,,,,,,,,
Hydroelectric Facility,Governor and Control System,Servo motor,,,,,,,,,
Hydroelectric Facility,Governor and Control System,Control valves,,,,,,,,,
Hydroelectric Facility,Governor and Control System,Speed sensors,,,,,,,,,
Hydroelectric Facility,Electrical Systems,Step-up transformer,Tap changer,,,,,,,,
Hydroelectric Facility,Electrical Systems,Step-up transformer,Conservator,,,,,,,,
Hydroelectric Facility,Electrical Systems,Step-up transformer,Cooling system,,,,,,,,
Hydroelectric Facility,Electrical Systems,Step-up transformer,Bushings,,,,,,,,
Hydroelectric Facility,Electrical Systems,Circuit breakers,,,,,,,,,
Hydroelectric Facility,Electrical Systems,Disconnect switches,,,,,,,,,
Hydroelectric Facility,Electrical Systems,Power cables,,,,,,,,,
Hydroelectric Facility,Electrical Systems,Busbars,,,,,,,,,
Hydroelectric Facility,Electrical Systems,Protection and relaying system,Differential protection,,,,,,,,
Hydroelectric Facility,Electrical Systems,Protection and relaying system,Overcurrent protection,,,,,,,,
Hydroelectric Facility,Electrical Systems,Protection and relaying system,Earth fault protection,,,,,,,,
Hydroelectric Facility,Monitoring and Communication,SCADA system,,,,,,,,,
Hydroelectric Facility,Monitoring and Communication,Instrumentation panel,Pressure sensors,,,,,,,,
Hydroelectric Facility,Monitoring and Communication,Instrumentation panel,Flow meters,,,,,,,,
Hydroelectric Facility,Monitoring and Communication,Instrumentation panel,Vibration sensors,,,,,,,,
Hydroelectric Facility,Monitoring and Communication,Instrumentation panel,Temperature gauges,,,,,,,,
Hydroelectric Facility,Monitoring and Communication,Communication links,Fiber optic lines,,,,,,,,
Hydroelectric Facility,Monitoring and Communication,Communication links,Wireless telemetry,,,,,,,,
