Asset,Component,Sub-Component,Sub-Sub-Component,Hazard,FragilityModel,scale,shape,median,dispersion,mid_point,slope
Natural Gas Generation Plant,Fuel Supply System,Natural Gas Pipeline Connection,,,,,,,,,
Natural Gas Generation Plant,Fuel Supply System,Gas Compression,,,,,,,,,
Natural Gas Generation Plant,Fuel Supply System,Gas Conditioning,Filtering,Heat Stress,lognormal,,,100,0.7,,
Natural Gas Generation Plant,Fuel Supply System,Gas Conditioning,Heating,Heat Stress,logistic,,,,,111.5,0.71
Natural Gas Generation Plant,Fuel Supply System,Metering and Regulation Skid,,,,,,,,,
Natural Gas Generation Plant,Fuel Supply System,"Startup Fuel System (e.g., Diesel/Propane)",,,,,,,,,
Natural Gas Generation Plant,Gas Turbine System,Air Intake System,,,,,,,,,
Natural Gas Generation Plant,Gas Turbine System,Air Intake System,Filters,Heat Stress,logistic,,,,,99.5,0.95
Natural Gas Generation Plant,Gas Turbine System,Air Intake System,Inlet Guide Vanes,Heat Stress,weibull,80.88,1.88,,,,
Natural Gas Generation Plant,Gas Turbine System,Compressor Section,,,,,,,,,
Natural Gas Generation Plant,Gas Turbine System,Compressor Section,Compressor Stages,,,,,,,,
Natural Gas Generation Plant,Gas Turbine System,Compressor Section,Bleed Air System,,,,,,,,
Natural Gas Generation Plant,Gas Turbine System,Combustion Chamber,,,,,,,,,
Natural Gas Generation Plant,Gas Turbine System,Combustion Chamber,Burner Assemblies,,,,,,,,
Natural Gas Generation Plant,Gas Turbine System,Combustion Chamber,Ignition System,,,,,,,,
Natural Gas Generation Plant,Gas Turbine System,Combustion Chamber,Fuel Injectors,,,,,,,,
Natural Gas Generation Plant,Gas Turbine System,Power Turbine / Expansion Turbine,,,,,,,,,
Natural Gas Generation Plant,Gas Turbine System,Power Turbine / Expansion Turbine,Turbine Stages,,,,,,,,
Natural Gas Generation Plant,Gas Turbine System,Bearings,,,,,,,,,
Natural Gas Generation Plant,Gas Turbine System,Lubrication System,,,,,,,,,
Natural Gas Generation Plant,Gas Turbine System,Gas Turbine Governor,,,,,,,,,
Natural Gas Generation Plant,Heat Recovery Steam Generator (HRSG),Heat Exchange Sections,,,,,,,,,
Natural Gas Generation Plant,Heat Recovery Steam Generator (HRSG),Heat Exchange Sections,Economizer,,,,,,,,
Natural Gas Generation Plant,Heat Recovery Steam Generator (HRSG),Heat Exchange Sections,Evaporator (Boiler tubes),,,,,,,,
Natural Gas Generation Plant,Heat Recovery Steam Generator (HRSG),Heat Exchange Sections,Superheater,,,,,,,,
Natural Gas Generation Plant,Heat Recovery Steam Generator (HRSG),Heat Exchange Sections,Reheater (if applicable),,,,,,,,
Natural Gas Generation Plant,Heat Recovery Steam Generator (HRSG),Drums and Headers,,,,,,,,,
Natural Gas Generation Plant,Heat Recovery Steam Generator (HRSG),Drums and Headers,Steam Drum,,,,,,,,
Natural Gas Generation Plant,Heat Recovery Steam Generator (HRSG),Drums and Headers,Mud Drum (if applicable),,,,,,,,
Natural Gas Generation Plant,Heat Recovery Steam Generator (HRSG),Drums and Headers,Superheater Headers,,,,,,,,
Natural Gas Generation Plant,Heat Recovery Steam Generator (HRSG),Drums and Headers,Reheater Headers,,,,,,,,
Natural Gas Generation Plant,Heat Recovery Steam Generator (HRSG),Attemperation System,,,,,,,,,
Natural Gas Generation Plant,Heat Recovery Steam Generator (HRSG),Emission Stack Connection,,,,,,,,,
Natural Gas Generation Plant,Steam Turbine System,High-Pressure (HP) Turbine,,,,,,,,,
Natural Gas Generation Plant,Steam Turbine System,Intermediate-Pressure (IP) Turbine,,,,,,,,,
Natural Gas Generation Plant,Steam Turbine System,Low-Pressure (LP) Turbine,,,,,,,,,
Natural Gas Generation Plant,Steam Turbine System,Bearings,,,,,,,,,
Natural Gas Generation Plant,Steam Turbine System,Lubrication System,,,,,,,,,
Natural Gas Generation Plant,Steam Turbine System,Steam Turbine Governor,,,,,,,,,
Natural Gas Generation Plant,Steam Turbine System,Turbine Shaft,,,,,,,,,
Natural Gas Generation Plant,Generator System,Stator,,,,,,,,,
Natural Gas Generation Plant,Generator System,Rotor,,,,,,,,,
